fips,county_name,estimate_total_households,median_household_income,percent_families_wo_employment,per_hs_grad,per_col_grad,_merge
01001,"Autauga County, Alabama",22308,68315,17.9,90.4,29.6,both
01003,"Baldwin County, Alabama",90802,71039,20.3,91.6,32.6,both
01005,"Barbour County, Alabama",9016,39712,26.2,76.5,11.9,both
01007,"Bibb County, Alabama",7216,50669,22.5,78.9,10.9,both
01009,"Blount County, Alabama",21626,57440,20.1,81.8,14.7,both
01011,"Bullock County, Alabama",3450,36136,19.7,73.4,9.4,both
01013,"Butler County, Alabama",7131,44429,21.7,87.6,13.0,both
01015,"Calhoun County, Alabama",44693,54339,20.2,85.1,19.2,both
01017,"Chambers County, Alabama",13143,48805,22.5,83.5,12.7,both
01019,"Cherokee County, Alabama",9997,46621,27.6,81.9,14.6,both
01021,"Chilton County, Alabama",16931,62471,22.0,82.2,14.0,both
01023,"Choctaw County, Alabama",5228,43299,31.7,82.4,13.0,both
01025,"Clarke County, Alabama",8188,47549,26.6,81.4,13.8,both
01027,"Clay County, Alabama",5485,48074,29.2,83.3,12.8,both
01029,"Cleburne County, Alabama",5761,51553,23.0,82.5,16.5,both
01031,"Coffee County, Alabama",20363,62199,16.9,86.6,21.6,both
01033,"Colbert County, Alabama",23266,56149,23.6,86.4,18.0,both
01035,"Conecuh County, Alabama",4453,39888,37.1,89.4,13.3,both
01037,"Coosa County, Alabama",3999,52279,26.2,83.5,10.6,both
01039,"Covington County, Alabama",14194,48772,24.0,85.8,16.3,both
01041,"Crenshaw County, Alabama",4839,48557,19.6,82.1,17.2,both
01043,"Cullman County, Alabama",33649,58119,19.0,84.6,18.3,both
01045,"Dale County, Alabama",19400,52813,20.3,85.7,19.2,both
01047,"Dallas County, Alabama",14753,37180,23.1,85.3,15.7,both
01049,"DeKalb County, Alabama",25690,47920,19.8,77.7,14.1,both
01051,"Elmore County, Alabama",32184,73258,16.8,88.5,24.2,both
01053,"Escambia County, Alabama",13022,41153,23.1,82.3,12.6,both
01055,"Etowah County, Alabama",38791,52177,18.7,86.1,17.7,both
01057,"Fayette County, Alabama",6143,45650,25.0,83.7,13.0,both
01059,"Franklin County, Alabama",11239,47359,22.2,80.1,14.8,both
01061,"Geneva County, Alabama",10391,47608,22.7,83.4,13.9,both
01063,"Greene County, Alabama",2872,32796,36.8,81.9,16.7,both
01065,"Hale County, Alabama",5403,35851,28.2,80.6,16.4,both
01067,"Henry County, Alabama",6686,58395,25.2,81.5,21.0,both
01069,"Houston County, Alabama",41543,55064,18.7,87.6,22.5,both
01071,"Jackson County, Alabama",20670,46748,22.6,82.0,16.2,both
01073,"Jefferson County, Alabama",265794,63595,15.6,91.1,35.6,both
01075,"Lamar County, Alabama",5168,49565,25.7,82.1,10.2,both
01077,"Lauderdale County, Alabama",38237,56081,19.9,88.8,25.8,both
01079,"Lawrence County, Alabama",12829,54786,20.8,82.7,15.8,both
01081,"Lee County, Alabama",65166,59288,14.7,91.7,40.2,both
01083,"Limestone County, Alabama",38572,80146,14.1,87.3,29.5,both
01085,"Lowndes County, Alabama",4001,33125,28.2,83.3,16.3,both
01087,"Macon County, Alabama",7131,41206,25.5,82.7,20.6,both
01089,"Madison County, Alabama",159569,78058,13.7,92.2,45.1,both
01091,"Marengo County, Alabama",7379,42975,24.7,89.1,22.0,both
01093,"Marion County, Alabama",11018,49743,22.7,80.6,11.8,both
01095,"Marshall County, Alabama",35930,58272,20.1,84.4,21.4,both
01097,"Mobile County, Alabama",159605,55352,18.3,88.1,24.2,both
01099,"Monroe County, Alabama",7298,39965,33.3,83.7,13.5,both
01101,"Montgomery County, Alabama",89721,56707,15.8,88.0,33.7,both
01103,"Morgan County, Alabama",48004,61588,19.5,85.2,23.8,both
01105,"Perry County, Alabama",3075,32332,37.0,79.6,15.2,both
01107,"Pickens County, Alabama",7083,45339,26.9,84.9,14.5,both
01109,"Pike County, Alabama",11996,42616,17.8,87.9,27.7,both
01111,"Randolph County, Alabama",8729,49879,24.2,82.0,18.8,both
01113,"Russell County, Alabama",23462,47420,19.5,85.2,16.4,both
01115,"St. Clair County, Alabama",33838,73218,17.8,87.3,19.3,both
01117,"Shelby County, Alabama",83776,90618,13.4,93.8,45.6,both
01119,"Sumter County, Alabama",4798,31726,24.2,88.8,21.8,both
01121,"Talladega County, Alabama",32359,52457,24.6,83.2,16.6,both
01123,"Tallapoosa County, Alabama",16438,53282,26.3,81.9,18.2,both
01125,"Tuscaloosa County, Alabama",84743,61645,15.0,90.6,30.9,both
01127,"Walker County, Alabama",24718,52987,23.1,82.7,15.3,both
01129,"Washington County, Alabama",5506,51184,29.9,88.3,14.2,both
01131,"Wilcox County, Alabama",3579,38208,31.3,77.7,11.6,both
01133,"Winston County, Alabama",9103,49494,23.7,80.0,13.8,both
02013,"Aleutians East Borough, Alaska",899,79961,4.0,81.0,16.9,both
02016,"Aleutians West Census Area, Alaska",969,100662,10.6,89.5,15.4,both
02020,"Anchorage Municipality, Alaska",107134,95731,9.8,94.2,37.0,both
02050,"Bethel Census Area, Alaska",4565,64094,11.0,82.7,9.7,both
02060,"Bristol Bay Borough, Alaska",284,94167,7.3,95.0,26.3,both
02063,"Chugach Census Area, Alaska",2755,83068,10.1,94.5,31.5,both
02066,"Copper River Census Area, Alaska",1090,70606,18.5,92.4,28.1,both
02068,"Denali Borough, Alaska",525,87292,15.9,96.7,25.1,both
02070,"Dillingham Census Area, Alaska",1384,69412,11.4,88.1,20.5,both
02090,"Fairbanks North Star Borough, Alaska",35824,81655,10.0,94.7,32.9,both
02100,"Haines Borough, Alaska",786,68276,22.6,97.7,33.7,both
02105,"Hoonah-Angoon Census Area, Alaska",867,62344,17.9,94.0,27.5,both
02110,"Juneau City and Borough, Alaska",13017,95711,14.5,95.4,40.7,both
02122,"Kenai Peninsula Borough, Alaska",23201,76272,19.3,94.2,28.0,both
02130,"Ketchikan Gateway Borough, Alaska",5568,82763,11.7,94.7,28.5,both
02150,"Kodiak Island Borough, Alaska",4415,91138,6.8,91.2,28.5,both
02158,"Kusilvak Census Area, Alaska",1864,42663,13.5,81.4,4.6,both
02164,"Lake and Peninsula Borough, Alaska",326,61607,6.2,90.8,15.5,both
02170,"Matanuska-Susitna Borough, Alaska",39290,86435,15.5,94.2,23.7,both
02180,"Nome Census Area, Alaska",2786,70121,10.7,88.2,18.3,both
02185,"North Slope Borough, Alaska",2168,83472,15.3,90.7,14.2,both
02188,"Northwest Arctic Borough, Alaska",1776,77647,14.7,86.1,15.2,both
02195,"Petersburg Borough, Alaska",1254,77826,10.4,87.0,24.8,both
02198,"Prince of Wales-Hyder Census Area, Alaska",2334,61779,14.6,92.5,19.4,both
02220,"Sitka City and Borough, Alaska",3459,95261,10.4,95.2,34.2,both
02230,"Skagway Municipality, Alaska",410,79583,9.8,92.7,27.8,both
02240,"Southeast Fairbanks Census Area, Alaska",2189,75378,25.4,93.7,19.8,both
02275,"Wrangell City and Borough, Alaska",928,61000,25.3,87.1,18.0,both
02282,"Yakutat City and Borough, Alaska",231,76875,14.4,94.0,10.8,both
02290,"Yukon-Koyukuk Census Area, Alaska",2078,47826,14.9,87.0,14.1,both
04001,"Apache County, Arizona",19786,37483,33.2,84.0,13.8,both
04003,"Cochise County, Arizona",49680,58421,22.9,88.9,26.7,both
04005,"Coconino County, Arizona",51993,67266,16.8,91.5,39.6,both
04007,"Gila County, Arizona",22714,55242,32.9,87.1,18.1,both
04009,"Graham County, Arizona",12018,64089,20.7,84.6,14.0,both
04011,"Greenlee County, Arizona",3304,73756,16.5,85.9,16.7,both
04012,"La Paz County, Arizona",8911,46634,34.5,82.6,12.4,both
04013,"Maricopa County, Arizona",1665560,80675,14.9,89.2,35.0,both
04015,"Mohave County, Arizona",95169,53592,35.0,87.8,14.4,both
04017,"Navajo County, Arizona",37565,50335,29.0,85.6,17.3,both
04019,"Pima County, Arizona",423075,64323,20.0,89.5,35.0,both
04021,"Pinal County, Arizona",151490,73313,24.6,88.5,21.4,both
04023,"Santa Cruz County, Arizona",16651,51885,16.5,78.0,23.5,both
04025,"Yavapai County, Arizona",106542,62430,31.2,92.1,28.7,both
