countyfips,diagnosed diabetes among adults,obesity among adults
01001,11.3,38.4
01003,10.2,36.8
01005,16.0,43.8
01007,13.3,41.4
01009,11.6,37.3
01011,19.9,49.4
01013,14.8,45.5
01015,12.7,38.3
01017,14.6,45.4
01019,11.3,40.2
01021,11.6,36.3
01023,15.1,45.8
01025,14.9,44.4
01027,13.1,39.6
01029,12.2,39.4
01031,11.8,34.1
01033,12.0,40.9
01035,15.5,44.7
01037,13.2,42.8
01039,11.7,44.6
01041,12.9,40.3
01043,11.6,39.7
01045,13.5,44.3
01047,17.5,50.5
01049,13.8,38.9
01051,11.4,36.4
01053,15.0,43.5
01055,12.6,41.3
01057,13.2,39.2
01059,13.5,39.6
01061,12.5,38.2
01063,19.4,51.0
01065,15.6,44.4
01067,13.7,38.3
01069,13.0,37.5
01071,12.4,38.6
01073,12.9,39.7
01075,12.0,38.3
01077,10.8,36.5
01079,13.1,40.7
01081,11.9,35.2
01083,11.2,35.8
01085,18.4,49.6
01087,17.7,47.7
01089,11.0,35.7
01091,15.4,46.1
01093,12.4,39.5
01095,11.4,38.6
01097,13.5,42.2
01099,15.2,42.7
01101,15.7,44.6
01103,12.9,38.7
01105,18.9,50.0
01107,14.5,43.8
01109,13.7,40.6
01111,13.0,40.9
01113,15.8,46.9
01115,10.6,33.0
01117,9.5,32.1
01119,17.6,45.2
01121,14.1,42.6
01123,12.9,41.9
01125,12.8,41.4
01127,12.8,42.9
01129,13.8,41.5
01131,18.8,48.5
01133,11.9,36.3
02013,12.6,30.9
02016,11.2,28.9
02020,7.9,29.6
02050,14.3,41.5
02060,9.1,32.0
02063,7.8,30.4
02066,8.9,32.6
02068,7.7,30.8
02070,12.7,37.2
02090,7.6,32.1
02100,7.3,32.6
02105,10.0,31.7
02110,7.7,32.8
02122,7.9,32.0
02130,8.5,34.3
02150,9.3,30.3
02158,17.6,46.0
02164,11.8,38.2
02170,8.6,31.4
02180,13.7,37.2
02185,10.7,40.7
02188,13.5,38.0
02195,8.3,30.4
02198,10.8,37.6
02220,8.4,32.3
02230,8.0,33.0
02240,9.2,37.3
02275,8.8,34.4
02282,10.6,32.6
02290,13.4,39.5
04001,17.9,39.1
04003,10.8,32.9
04005,10.4,27.0
04007,11.7,34.4
04009,12.5,40.4
04011,11.4,32.5
04012,12.9,35.9
04013,10.4,32.7
04015,10.8,36.6
04017,13.3,38.5
04019,10.3,32.8
04021,11.8,38.9
04023,14.6,32.4
04025,9.1,27.7
04027,13.9,42.3
05001,13.7,40.9
05003,14.5,42.1
05005,11.6,41.3
05007,11.0,34.2
05009,11.2,39.4
05011,14.9,41.5
05013,12.9,38.7
05015,12.6,35.6
05017,17.4,44.6
05019,14.3,40.4
05021,12.6,38.1
05023,11.7,36.6
05025,13.4,41.0
05027,14.3,41.1
05029,13.5,41.3
05031,12.3,37.5
05033,12.5,39.5
05035,15.8,41.5
05037,13.9,38.5
05039,14.4,44.0
05041,17.6,45.2
05043,13.7,41.6
05045,11.9,37.8
05047,12.8,40.1
05049,13.7,39.0
05051,11.5,37.8
05053,11.0,35.5
05055,12.6,37.6
05057,14.5,41.2
05059,13.0,38.6
05061,13.2,39.7
05063,12.6,39.6
05065,11.9,36.9
05067,14.3,40.6
05069,15.3,44.5
05071,14.0,39.1
05073,15.9,42.9
05075,13.1,41.5
05077,17.5,44.9
05079,14.9,39.8
05081,12.6,38.9
05083,12.2,37.7
05085,11.8,38.0
05087,12.5,36.0
05089,12.3,36.8
05091,13.9,43.7
05093,15.6,43.2
05095,15.5,43.4
05097,12.7,39.8
05099,14.8,41.5
05101,12.2,39.5
05103,14.3,42.5
05105,12.2,37.6
05107,17.7,51.3
05109,12.3,37.1
05111,14.0,40.8
05113,12.5,37.0
05115,12.7,36.1
05117,12.4,38.3
05119,12.7,38.4
05121,13.0,37.4
05123,17.1,44.5
05125,10.6,37.2
05127,12.9,38.4
05129,13.8,40.8
05131,13.2,35.9
05133,14.4,41.5
05135,12.1,38.0
05137,12.8,37.2
05139,13.5,41.2
05141,13.1,37.0
05143,11.9,33.5
05145,12.5,40.4
05147,14.4,41.3
05149,13.6,38.7
06001,9.2,19.4
06003,8.8,29.9
06005,9.0,27.3
06007,9.8,31.5
06009,9.4,29.4
06011,11.7,32.2
06013,9.6,28.4
06015,11.2,33.8
06017,7.8,24.8
06019,13.0,39.0
06021,11.2,34.1
06023,9.6,33.1
06025,15.1,38.5
06027,9.3,29.9
06029,13.0,35.9
06031,13.0,31.9
06033,9.7,30.7
06035,10.5,32.8
06037,11.4,26.2
06039,12.7,35.2
06041,7.3,23.5
06043,9.8,32.3
06045,9.8,29.4
06047,13.6,34.5
06049,9.7,30.0
06051,8.9,29.1
06053,11.1,32.8
06055,9.6,28.7
06057,8.9,29.9
06059,9.9,25.7
06061,8.6,25.8
06063,8.5,29.1
06065,10.5,34.0
06067,10.6,33.9
06069,10.4,29.1
06071,12.4,35.1
06073,9.4,25.4
06075,9.2,17.7
06077,11.6,33.8
06079,8.4,28.2
06081,8.9,21.4
06083,10.0,31.6
06085,10.0,22.0
06087,9.0,29.4
06089,9.3,28.7
06091,9.0,31.3
06093,9.7,32.9
06095,11.0,32.8
06097,8.3,28.3
06099,10.9,34.7
06101,11.6,32.0
06103,10.0,32.5
06105,9.9,32.4
06107,13.2,38.0
06109,8.9,31.0
06111,10.1,28.9
06113,10.7,28.5
06115,10.9,32.6
08001,9.8,34.0
08003,10.6,31.9
08005,7.9,25.7
08007,7.6,24.9
08009,9.9,31.0
08011,11.4,33.1
08013,6.3,18.6
08014,6.5,24.6
08015,7.9,25.3
08017,7.7,27.6
08019,6.7,25.7
08021,11.2,30.5
08023,12.5,33.7
08025,11.8,33.3
08027,7.9,26.8
08029,8.5,29.0
08031,7.9,23.8
08033,7.9,27.4
08035,6.2,20.9
08037,7.0,22.6
08039,7.1,25.0
08041,8.1,28.1
08043,9.1,29.2
08045,7.7,26.7
08047,7.2,25.2
08049,6.9,24.9
08051,6.5,23.7
08053,6.8,25.9
08055,9.6,28.7
08057,9.2,28.4
08059,7.2,24.9
08061,8.9,30.0
08063,8.3,30.2
08065,7.4,26.2
08067,6.7,24.8
08069,6.5,21.1
08071,10.5,31.6
08073,9.1,30.3
08075,9.3,30.0
08077,7.9,30.3
08079,7.2,26.6
08081,8.9,29.6
08083,8.9,30.2
08085,8.3,33.6
08087,9.1,31.3
08089,11.9,31.6
08091,6.8,24.8
08093,7.0,25.3
08095,9.3,30.6
08097,6.0,21.1
08099,10.4,31.6
08101,10.0,31.4
08103,8.0,27.9
08105,8.8,26.4
08107,6.6,24.4
08109,10.2,30.3
08111,8.1,27.4
08113,7.0,24.7
08115,9.3,29.8
08117,7.1,22.7
08119,7.0,26.9
08121,8.1,26.8
08123,8.5,31.2
08125,8.9,27.9
09110,9.4,32.4
09120,9.0,28.7
09130,7.7,31.2
09140,8.9,30.9
09150,8.4,32.8
09160,8.2,30.6
09170,9.6,32.0
09180,9.1,33.4
09190,7.7,26.9
10001,11.1,39.3
10003,11.6,37.6
